timestamp,Bx,By
2022-06-08 18:26:08+00:00,0.6473527624309392,16.181320718232044
2022-06-08 18:26:12+00:00,-19.056644198895025,5.424885359116022
2022-06-08 18:26:16+00:00,-12.016651515151516,-4.041788154269972
2022-06-08 18:26:20+00:00,-3.9614502762430943,-16.982959116022098
2022-06-08 18:26:24+00:00,-13.410119390581718,-4.6281379501385045
2022-06-08 18:26:28+00:00,-20.317569315068493,2.573342191780822
2022-06-08 18:26:32+00:00,-17.90741049723757,3.827554696132597
2022-06-08 18:26:36+00:00,-19.972706629834256,2.8518256906077344
2022-06-08 18:26:40+00:00,-19.69793076923077,3.9081115384615384
2022-06-08 18:26:44+00:00,-20.44570276243094,3.798296132596685
2022-06-08 18:26:48+00:00,-20.9216135501355,3.093611382113821
2022-06-08 18:26:52+00:00,-19.929256300268094,7.185693833780161
